Rank,Name of Institution,Guardian score/100,% Satisfied with Teaching,% Satisfied with course,Continuation ,Expenditure per student (FTE),Student:staff ratio,Career prospects,Value added score/10,Average Entry Tariff,% Satisfied with Assessment
1,Edinburgh,100.0,96,93,97,10,6.0,93,7,205,78
2,Glasgow,81.6,94,94,100,3,7.3,100,9,221,70
3,Liverpool,79.6,96,96,98,7,4.8,98,7,173,77
4,Nottingham,76.3,100,100,97,3,8.6,98,6,178,94
5,Cambridge,73.2,84,77,100,8,4.7,96,3,214,51
6,Bristol,50.5,93,89,98,5,8.1,97,3,186,57
7,Royal Veterinary College,47.1,95,94,98,3,10.9,97,3,191,65
8,Surrey,33.9,86,77,99,4,9.6,,,177,65
